Tweet Id,Datetime,tweet,clean_text,sentiment
1331230678139080704,2020-11-24 13:38:21,"Congratulations to the winners of ""Campaign To Drive Sales"" category for their excellent performance at #TheMaddies… https://t.co/821N6PFxAX",Congratulations to the winners of Campaign To Drive Sales category for their excellent performance at TheMaddies,positive
1331230658866266112,2020-11-24 13:38:16,@UShaikh10 @marathikolhapur @Flipkart @flipkartsupport निट बोल रे भंगार भाषिक,,neutral
1331230651043856386,2020-11-24 13:38:14,"@jugzzzz @Flipkart @flipkartsupport @GoogleIndia same here, looks like they will never deliver",same here looks like they will never deliver,positive
1331230630638600192,2020-11-24 13:38:10,@delhivery Funny part is @Flipkart @flipkartsupport is not able to provide me the awb number.,Funny part is is not able to provide me the awb number,positive
1331230593573560332,2020-11-24 13:38:01,"@akhterh72185199 To ensure that your Flipkart account information is safe, request you to reach us via DM by clicki… https://t.co/oNN4YAYd64",To ensure that your Flipkart account information is safe request you to reach us via DM by clicki,positive
1331230548186992643,2020-11-24 13:37:50,"@offensive_chy @Flipkart @flipkartsupport @amazonIN @Google same here, looks like they will never deliver",chy same here looks like they will never deliver,positive
1331230500183105536,2020-11-24 13:37:38,"Loot : Mast &amp; Harbour Watches @ 80% off

Lowest prices

Masterlink : 

https://t.co/cLScIQA0OO https://t.co/7IjMx00Bja",Loot Mast amp Harbour Watches 80 off Lowest prices Masterlink,negative
1331230459829702656,2020-11-24 13:37:29,@Flipkart dont fall in their trap. eaten my 2600 rupees. and 2000 supercoin also. https://t.co/UsD3WWWbRh,dont fall in their trap eaten my 2600 rupees and 2000 supercoin also,negative
1331230418805288960,2020-11-24 13:37:19,@TechnologyJock @Flipkart Lmao nice.,Lmao nice,positive
1331230366519050241,2020-11-24 13:37:07,@marathi8620 @marathikolhapur @Flipkart @flipkartsupport Tar tujhya bochat paey daalki,Tar tujhya bochat paey daalki,neutral
1331230343920111623,2020-11-24 13:37:01,"@fcmid005 @baxiabhishek Inko Jeffexpress chalega,Ali express chalega, Flipkart express chalega lekin Indian Ambani… https://t.co/CE4A2u5Ufq",Inko Jeffexpress chalega Ali express chalega Flipkart express chalega lekin Indian Ambani,neutral
1331230335141511169,2020-11-24 13:36:59,@flipkartsupport Same type of reply I am getting in my mail. But the think is I want my refund. Providing Update is… https://t.co/MxfcqlT1Mz,Same type of reply I am getting in my mail But the think is I want my refund Providing Update is,positive
1331230328069865474,2020-11-24 13:36:57,"If you have a problem with oily skin and are constantly struggling with acne, you can use a completely natural way… https://t.co/sV2VkTscIt",If you have a problem with oily skin and are constantly struggling with acne you can use a completely natural way,negative
1331230203067076610,2020-11-24 13:36:28,"@happy56gb @GoogleIndia @Flipkart even if it is available dont order, they are yet to deliver orders which were placed 11 days ago.",even if it is available dont order they are yet to deliver orders which were placed 11 days ago,neutral
1331230175862820864,2020-11-24 13:36:21,"@vivek_kothari @flipkartsupport @Flipkart @GoogleIndia even if it is available dont order, they are yet to deliver… https://t.co/FlFN3mugIr",kothari even if it is available dont order they are yet to deliver,neutral
1331230145122766856,2020-11-24 13:36:14,"@vipulpatel2408 @Flipkart even if it is available dont order, they are yet to deliver orders which were placed 11 days ago.",even if it is available dont order they are yet to deliver orders which were placed 11 days ago,neutral
1331230143159918592,2020-11-24 13:36:13,Couple of more canned emails from customer support that they tried calling but no one picked up. That is then immed… https://t.co/f5vjIbuEUk,Couple of more canned emails from customer support that they tried calling but no one picked up That is then immed,negative
1331230126483275778,2020-11-24 13:36:09,"@nthejain @Flipkart @flipkartsupport @GoogleIndia even if it is available dont order, they are yet to deliver order… https://t.co/FT273CHfZz",even if it is available dont order they are yet to deliver order,neutral
1331230100499533824,2020-11-24 13:36:03,"@soeffinup @Flipkart even if it is available dont order, they are yet to deliver orders which were placed 11 days ago.",even if it is available dont order they are yet to deliver orders which were placed 11 days ago,neutral
1331230093109125127,2020-11-24 13:36:01,"could flipkart help to me ?
i dont want this mobile, just want replacement with 4 g phone.@FlipkartService… https://t.co/PnJs8amtNg",could flipkart help to me i dont want this mobile just want replacement with 4 g phone,positive
1331230088822624256,2020-11-24 13:36:00,"Dear flipkart ,
Today i received  nokia 5310 mobile phone, though flipkart. as this phone is 2g supported device.… https://t.co/DTcWE3FHTd",Dear flipkart Today i received nokia 5310 mobile phone though flipkart as this phone is 2g supported device,positive
1331230060389433345,2020-11-24 13:35:54,"@rakeshandrotula @Flipkart even if it is available dont order, they are yet to deliver orders which were placed 11 days ago.",even if it is available dont order they are yet to deliver orders which were placed 11 days ago,neutral
1331230040340668418,2020-11-24 13:35:49,"@FlipkartStories @Flipkart Ans2) B) MarQ

#TriviaTuesdays 
@FlipkartVideo
#TuesdayVibe #TuesdayShoutout

Tagging-… https://t.co/lYpygmRCgk",Ans2 B MarQ TriviaTuesdays TuesdayVibe TuesdayShoutout Tagging,neutral
1331229990474530819,2020-11-24 13:35:37,"@KeKrishnan @flipkartsupport @Flipkart Yes bro , they said wait till 7 pm ..order will be delivered.… https://t.co/DG4WOufrFf",Yes bro they said wait till 7 pm order will be delivered,positive
1331229958966919177,2020-11-24 13:35:29,@UShaikh10 @marathikolhapur @Flipkart @flipkartsupport आमची राष्ट्र भाषा मराठी आहे आणी भंगार भाषा हिंदी आहे साधी नो… https://t.co/BzMEIfVvEa,,neutral
1331229881674260482,2020-11-24 13:35:11,"@FlipkartStories @Flipkart A2) b) MarQ

#TriviaTuesdays @FlipkartStories

@KajolSaxena7 @satyapaljain_86
@JeetuMaheta",A2 b MarQ TriviaTuesdays 86,negative
1331229752431034374,2020-11-24 13:34:40,"Mast &amp; Harbour Watch @  80% off

Only few left

https://t.co/kjstrwpWMY

.",Mast amp Harbour Watch 80 off Only few left,neutral
1331229529860239362,2020-11-24 13:33:47,"@Manohar82286605 @Flipkart @flipkartsupport @FlipkartStories Bhai @amazon use kiya kar... Flipkart, Snapdeal sab chor ho gaye hai..",Bhai use kiya kar Flipkart Snapdeal sab chor ho gaye hai,neutral
1331229388914839552,2020-11-24 13:33:14,"@SouravK77034804 To ensure that your Flipkart account information is safe, please start a private message with us b… https://t.co/g4rsD5VnEm",To ensure that your Flipkart account information is safe please start a private message with us b,positive
1331229254911209473,2020-11-24 13:32:42,@johnson_gulzar to make sure that your Flipkart account information is safe. Awaiting your response. ^TG (2/2) https://t.co/5DoqNu2BgV,gulzar to make sure that your Flipkart account information is safe Awaiting your response TG 2 2,positive
1331229202046099457,2020-11-24 13:32:29,@Flipkart Where is my order? https://t.co/DxL5SmcUT7,Where is my order,neutral
1331229140419182598,2020-11-24 13:32:14,"@flipkartsupport @aajtak @ZeeNews @AmazonHelp  
Who give me deliver this product @Flipkart  why r u accepting my or… https://t.co/dEad7a8mYA",Who give me deliver this product why r u accepting my or,positive
1331229131820830723,2020-11-24 13:32:12,"https://t.co/NiOdIzYen5

📷   Design-1525     Casual &amp; Stylish Men Belt, Single Pack

Rs. 199

Our   brands believes… https://t.co/W49UWowjxd",Design 1525 Casual amp Stylish Men Belt Single Pack Rs 199 Our brands believes,positive
1331228863460831232,2020-11-24 13:31:08,"@LoserAnant @Micromax__India @Flipkart Haaahaaa...This is what flipkart is very good at!
#FlipkartChorHai #flipkart",India Haaahaaa This is what flipkart is very good at FlipkartChorHai flipkart,positive
1331228835333828609,2020-11-24 13:31:02,@Flipkart #bigbilliondays,bigbilliondays,neutral
1331228828014759937,2020-11-24 13:31:00,"#MicromaxInNote1 sold out within minutes of going on sale. 
@Micromax__India @Flipkart

https://t.co/7ZO58fzWNR",MicromaxInNote1 sold out within minutes of going on sale India,neutral
1331228767969132544,2020-11-24 13:30:45,@imsahilgarg @Flipkart @GoogleIndia same here,same here,neutral
1331228726118367233,2020-11-24 13:30:35,@TechnologyJock @Flipkart https://t.co/BHGxg4yB3B,,neutral
1331228721441718272,2020-11-24 13:30:34,@marathi8620 @marathikolhapur @Flipkart @flipkartsupport Marathi is a low grade language kid.I prefer my rashtra bhasha.,Marathi is a low grade language kid I prefer my rashtra bhasha,negative
1331228669692448770,2020-11-24 13:30:22,"https://t.co/cDMK0nU5Qn   

Women's &amp; Girl's Belt, Single Pack

Rs. 199

Our   brands believes to provide the good… https://t.co/J52Lw0FW3V",Women s amp Girl s Belt Single Pack Rs 199 Our brands believes to provide the good,positive
1331228620342214657,2020-11-24 13:30:10,"✔️65W SuperDART Charge
✔️MediaTek Helio G95 Gaming Processor
✔️90Hz Ultra Smooth Display

#realmeNarzo20Pro is back… https://t.co/b6EDFVVjS5",65W SuperDART Charge MediaTek Helio G95 Gaming Processor 90Hz Ultra Smooth Display realmeNarzo20Pro is back,neutral
1331228615749431297,2020-11-24 13:30:09,"@FlipkartStories @Flipkart Ans 2) b) MarQ

#ContestAlert #TriviaTuesdays
@FlipkartStories",Ans 2 b MarQ ContestAlert TriviaTuesdays,neutral
1331228589589577729,2020-11-24 13:30:03,@Micromax__India https://t.co/WDYU6NTQed and Flipkart both of them.,India and Flipkart both of them,neutral
1331228578197897220,2020-11-24 13:30:00,"@akashaykolte @flipkartsupport @Flipkart I can guarantee you that it won't reach to you. 
#FlipkartChorHai #flipkart #fraudkart",I can guarantee you that it won t reach to you FlipkartChorHai flipkart fraudkart,positive
