Tweet Id,Datetime,tweet,clean_text,sentiment
1331240126278733824,2020-11-24 14:15:54,@narendramodi - Maybe you should also ban @Paytm @zomato @bigbasket_com @snapdeal because they are all part owned b… https://t.co/U8TJO6gugF,Maybe you should also ban com because they are all part owned b,negative
1331239881524326401,2020-11-24 14:14:55,"@snapdeal I HAVE ORDER FOR DR MORPEN GLUCO METER BG03, VIDE ORDER ID NO 30908479386, I HAVE RECEIVED THE DAMAGE PRO… https://t.co/YQusOaaiiM",I HAVE ORDER FOR DR MORPEN GLUCO METER BG03 VIDE ORDER ID NO 30908479386 I HAVE RECEIVED THE DAMAGE PRO,negative
1331239122229284864,2020-11-24 14:11:54,@KIRITKUMABAGDAI We always request our customers to never share their personal details publicly as our page is visi… https://t.co/gnQ8jiSnYQ,We always request our customers to never share their personal details publicly as our page is visi,negative
1331239062137495552,2020-11-24 14:11:40,@KIRITKUMABAGDAI Hi! So sorry to disappoint you. I’ve shared this with my team. We'll connect with you soon regarding this. Thanks! Sia,Hi So sorry to disappoint you I ve shared this with my team We ll connect with you soon regarding this Thanks Sia,positive
1331238423923884033,2020-11-24 14:09:08,@snapdeal I HAD ORDERED FOR DR MORPEN GLUCO METER BG03. I RECEIVED THE DAMAGE PRODUCT. DESPITE OF MY REPEATED REQUE… https://t.co/BTLndJRD9H,I HAD ORDERED FOR DR MORPEN GLUCO METER BG03 I RECEIVED THE DAMAGE PRODUCT DESPITE OF MY REPEATED REQUE,negative
1331231190875992066,2020-11-24 13:40:23,"Carry your home in your mobile phone.

Welcome to the future of living!
Buy #zunpulse smart devices from Amazon, Fl… https://t.co/0AjP2I028n",Carry your home in your mobile phone Welcome to the future of living Buy zunpulse smart devices from Amazon Fl,positive
1331229927325122560,2020-11-24 13:35:22,"@Amandachamp01 @myntra @amazonIN @snapdeal I am just waiting for their reply,if they won't reply then surely I will… https://t.co/19FLKeWuG6",I am just waiting for their reply if they won t reply then surely I will,positive
1331229529860239362,2020-11-24 13:33:47,"@Manohar82286605 @Flipkart @flipkartsupport @FlipkartStories Bhai @amazon use kiya kar... Flipkart, Snapdeal sab chor ho gaye hai..",Bhai use kiya kar Flipkart Snapdeal sab chor ho gaye hai,neutral
1331228539736129536,2020-11-24 13:29:51,This is very shameful for such a multi-billion e-commerce company. Flipkart is popular because of their costumer. F… https://t.co/SahMjnXI4O,This is very shameful for such a multi billion e commerce company Flipkart is popular because of their costumer F,negative
1331217819258683394,2020-11-24 12:47:15,"￼How Do Ecommerce Sites Offer Free Shipping | Ecommerce Marketing Strategy | Free Shipping Ecommerce

Video link -… https://t.co/x9HcewRzey",How Do Ecommerce Sites Offer Free Shipping Ecommerce Marketing Strategy Free Shipping Ecommerce Video link,positive
1331212541393989632,2020-11-24 12:26:17,"@Gadgets360 @OfficeOfRSP @rsprasad @GoI_MeitY @DSCI_Connect 
@narendramodi 

Ban USA apps too... Let atmanirbhar ap… https://t.co/tYPPVjZy60",MeitY Connect Ban USA apps too Let atmanirbhar ap,negative
1331210066754555904,2020-11-24 12:16:27,@NischalRishabh I've shared this with my team. We'll connect with you soon regarding this. Thanks! Sam,I ve shared this with my team We ll connect with you soon regarding this Thanks Sam,positive
1331208982929633281,2020-11-24 12:12:08,@Snapdeal_Help I want to cancel the replacement and take back  the product and please provide the refund,Help I want to cancel the replacement and take back the product and please provide the refund,positive
1331203688807927810,2020-11-24 11:51:06,"Ali Baba banned by GoI? ... well, apps being banned is like a smack on the wrist, if not the knuckles .... the real… https://t.co/ixp9opTb9E",Ali Baba banned by GoI well apps being banned is like a smack on the wrist if not the knuckles the real,negative
1331200065038237697,2020-11-24 11:36:42,@NischalRishabh So sorry for the trouble. We will connect with you at the earliest and help you out. Thanks! Sam,So sorry for the trouble We will connect with you at the earliest and help you out Thanks Sam,positive
1331199338177986560,2020-11-24 11:33:49,@Flipkart is better than @snapdeal the order 44117534369 need to be picked up by today and now delayed by 48 hrs. A… https://t.co/RQUuzDtyZl,is better than the order 44117534369 need to be picked up by today and now delayed by 48 hrs A,positive
1331190457380925443,2020-11-24 10:58:32,@Aparna_C96 @snapdeal Awwwww. 🤣 😂 😂,C96 Awwwww,neutral
1331183683420622850,2020-11-24 10:31:36,@snapdeal stop selling Rhea Chakravarty's Posters online through your channel,stop selling Rhea Chakravarty s Posters online through your channel,negative
1331175980937867266,2020-11-24 10:01:00,"@robiul1897 So sorry, believe me this not a usual Snapdeal experience! I’ll need your order number to start, please… https://t.co/h6h3R4xvck",So sorry believe me this not a usual Snapdeal experience I ll need your order number to start please,positive
